No,시도,구군,삶의_만족도,건강,안전,환경,경제,교육,관계_및_사회참여,여가
147,충청남도,청양군,0.4972,0.2275,0.8459,0.6956,0.3304,0.7694,0.2398,0.8614
148,충청남도,홍성군,0.6116,0.4667,0.551,0.561,0.3543,0.6033,0.3028,0.4893
149,충청남도,예산군,0.5722,0.249,0.67,0.6408,0.3729,0.4369,0.3786,0.7818
150,충청남도,태안군,0.3065,0.1115,0.6847,0.6947,0.3552,0.5712,0.3153,0.3323
151,전라북도,전주시,0.6024,0.4718,0.2984,0.4421,0.3866,0.8056,0.8702,0.3519
152,전라북도,군산시,0.5116,0.249,0.2728,0.1792,0.4131,0.8449,0.3227,0.3348
153,전라북도,익산시,0.3869,0.5754,0.1333,0.3728,0.2726,0.9334,0.3905,0.3773
154,전라북도,정읍시,0.1245,0.3904,0.3092,0.6658,0.1673,0.66,0.5178,0.7403
155,전라북도,남원시,0.783,0.5603,0.2421,0.7331,0.1012,0.8382,0.5118,0.7962
156,전라북도,김제시,0.598,0.3859,0.0311,0.5769,0.1869,0.4906,0.2215,0.4983
157,전라북도,완주군,0.9652,0.3709,0.3544,0.5987,0.4415,0.6903,0.5971,0.5532
158,전라북도,진안군,0.9947,0.5571,0.6069,1.0,0.0937,0.0306,0.334,0.9962
159,전라북도,무주군,0.0871,0.3417,0.7477,0.8709,0.2084,0.1036,0.3613,1.0
160,전라북도,장수군,0.9946,0.3596,0.5225,0.8372,0.0086,0.1613,0.5011,0.9189
161,전라북도,임실군,0.7008,0.4289,0.7756,0.799,0.0766,0.0287,0.5354,0.6959
162,전라북도,순창군,0.8283,0.361,0.5305,0.8585,0.1177,0.0539,0.5823,0.818
163,전라북도,고창군,0.5407,0.4619,0.4587,0.7952,0.1484,0.2517,0.635,0.6402
164,전라북도,부안군,0.3969,0.3843,0.4696,0.6588,0.129,0.3643,0.4438,0.6294
165,전라남도,목포시,0.307,0.6341,0.5033,0.549,0.2837,0.759,0.6163,0.4002
166,전라남도,여수시,0.6723,0.3527,0.2859,0.3839,0.5344,0.3478,0.7349,0.4212
167,전라남도,순천시,0.5973,0.3118,0.4881,0.7285,0.3924,0.8416,0.7952,0.6732
168,전라남도,나주시,0.7826,0.4574,0.3256,0.6215,0.2988,0.469,0.3704,0.6988
169,전라남도,광양시,0.4098,0.1424,0.4471,0.2171,0.6389,0.4901,0.7399,0.6612
